期間,義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%)
2010M03,"14,157",46.01,"4,269",19.41,"9,888",61.54,"47,053",34.97,"21,030",57.00,"26,023",21.22,"59,176",20.52,"24,046",15.07,"35,130",24.57,"1,674",68.75,145,104.23,"1,529",66.02
2010M04,"14,272",48.03,"4,316",20.09,"9,956",64.64,"47,644",36.66,"21,480",58.17,"26,164",22.94,"60,657",20.48,"25,155",15.43,"35,502",24.33,"1,664",80.67,151,160.34,"1,513",75.32
2010M05,"14,382",49.16,"4,326",20.10,"10,056",66.49,"48,128",37.84,"21,662",58.58,"26,466",24.50,"61,744",21.99,"25,770",16.52,"35,974",26.25,"1,690",87.99,140,169.23,"1,550",83.00
2010M06,"14,394",49.02,"4,329",20.05,"10,065",66.28,"48,326",37.94,"21,738",58.64,"26,588",24.65,"62,401",22.41,"26,171",16.79,"36,230",26.82,"1,657",87.44,114,159.09,"1,543",83.69
2010M07,"14,402",50.76,"4,276",21.89,"10,126",67.51,"48,082",39.21,"21,428",61.75,"26,654",25.18,"62,555",24.34,"26,029",18.82,"36,526",28.60,"1,646",87.90,107,197.22,"1,539",83.21
2010M08,"14,481",4.68,"4,135",-1.78,"10,346",7.50,"47,985",3.88,"20,711",-2.04,"27,274",8.88,"62,908",9.08,"25,896",6.28,"37,012",11.13,"1,682",-24.13,99,-75.50,"1,583",-12.69
2010M09,"14,500",4.84,"4,232",-0.94,"10,268",7.42,"48,230",3.91,"21,108",-1.91,"27,122",8.95,"62,636",7.66,"25,632",1.63,"37,004",12.27,"1,677",-18.67,130,-59.88,"1,547",-10.99
2010M10,"14,585",3.12,"4,285",-2.08,"10,300",5.45,"48,783",2.59,"21,339",-2.95,"27,444",7.35,"62,678",4.88,"25,270",-1.33,"37,408",9.54,"1,682",-17.79,125,-60.44,"1,557",-10.00
2010M11,"14,715",3.82,"4,288",-1.15,"10,427",6.01,"49,289",2.95,"21,534",-2.42,"27,755",7.55,"63,728",5.74,"25,780",-0.06,"37,948",10.07,"1,657",-13.29,105,-58.00,"1,552",-6.56
2010M12,"14,773",3.90,"4,305",-0.92,"10,468",6.03,"49,638",3.73,"21,747",-1.49,"27,891",8.20,"64,785",7.73,"26,616",4.07,"38,169",10.43,"1,605",-12.20,79,-64.41,"1,526",-4.98
2011M01,"14,709",4.39,"4,294",0.21,"10,415",6.22,"48,992",4.45,"21,205",0.25,"27,787",7.90,"63,029",9.63,"25,445",9.61,"37,584",9.64,"1,683",-9.71,142,-48.36,"1,541",-3.02
2011M02,"14,783",4.36,"4,249",0.93,"10,534",5.82,"48,948",4.47,"20,903",0.96,"28,045",7.25,"63,953",8.95,"25,620",8.90,"38,333",8.99,"1,698",-2.13,124,-17.88,"1,574",-0.63
2011M03,"14,809",4.61,"4,320",1.19,"10,489",6.08,"49,164",4.49,"21,157",0.60,"28,007",7.62,"63,902",7.99,"25,537",6.20,"38,365",9.21,"1,664",-0.60,108,-25.52,"1,556",1.77
2011M04,"14,759",3.41,"4,250",-1.53,"10,509",5.55,"48,829",2.49,"20,806",-3.14,"28,023",7.11,"63,563",4.79,"25,006",-0.59,"38,557",8.61,"1,675",0.66,96,-36.42,"1,579",4.36
2011M05,"15,017",4.42,"4,319",-0.16,"10,698",6.38,"49,448",2.74,"20,990",-3.10,"28,458",7.53,"63,743",3.24,"24,497",-4.94,"39,246",9.10,"1,691",0.06,96,-31.43,"1,595",2.90
2011M06,"14,996",4.18,"4,320",-0.21,"10,676",6.07,"49,443",2.31,"20,987",-3.45,"28,456",7.03,"63,973",2.52,"24,526",-6.29,"39,447",8.88,"1,663",0.36,86,-24.56,"1,577",2.20
2011M07,"15,046",4.47,"4,211",-1.52,"10,835",7.00,"48,853",1.60,"20,402",-4.79,"28,451",6.74,"64,065",2.41,"24,633",-5.36,"39,432",7.96,"1,734",5.35,82,-23.36,"1,652",7.34
2011M08,"15,151",4.63,"4,121",-0.34,"11,030",6.61,"49,115",2.35,"19,969",-3.58,"29,146",6.86,"64,910",3.18,"24,816",-4.17,"40,094",8.33,"1,793",6.60,65,-34.34,"1,728",9.16
2011M09,"15,216",4.94,"4,264",0.76,"10,952",6.66,"49,663",2.97,"20,774",-1.58,"28,889",6.52,"66,739",6.55,"25,500",-0.51,"41,239",11.44,"1,711",2.03,65,-50.00,"1,646",6.40
2011M10,"15,302",4.92,"4,306",0.49,"10,996",6.76,"50,279",3.07,"21,103",-1.11,"29,176",6.31,"67,890",8.32,"25,898",2.49,"41,992",12.25,"1,626",-3.33,41,-67.20,"1,585",1.80
2011M11,"15,368",4.44,"4,321",0.77,"11,047",5.95,"50,564",2.59,"21,221",-1.45,"29,343",5.72,"68,248",7.09,"26,024",0.95,"42,224",11.27,"1,643",-0.84,35,-66.67,"1,608",3.61
2011M12,"15,416",4.35,"4,321",0.37,"11,095",5.99,"50,796",2.33,"21,346",-1.84,"29,450",5.59,"68,409",5.59,"26,085",-2.00,"42,324",10.89,"1,672",4.17,36,-54.43,"1,636",7.21
2012M01,"15,357",4.41,"4,316",0.51,"11,041",6.01,"50,663",3.41,"21,314",0.51,"29,349",5.62,"67,901",7.73,"26,188",2.92,"41,713",10.99,"1,660",-1.37,51,-64.08,"1,609",4.41
2012M02,"15,269",3.29,"4,251",0.05,"11,018",4.59,"49,831",1.80,"20,677",-1.08,"29,154",3.95,"67,580",5.67,"25,535",-0.33,"42,045",9.68,"1,603",-5.59,54,-56.45,"1,549",-1.59
2012M03,"15,375",3.82,"4,358",0.88,"11,017",5.03,"50,414",2.54,"21,188",0.15,"29,226",4.35,"68,403",7.04,"25,925",1.52,"42,478",10.72,"1,596",-4.09,62,-42.59,"1,534",-1.41
